State Name,State Abbrevations,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
South Dakota,SD,636,810,799,879,918,987,936,830,800,707,704,567,622,779,774,847,908,930,906,792,772,700,747,611,614,751,762,848,937,980,926,801,793,692,748,594,589,758,777,841,945,1038,934,848,808,687,765,601,648,698,574,664,815,979,898,855,765,663,742
Tennessee,TN,5636,6767,6633,6650,7016,7227,6495,6253,6451,6020,6490,6302,5968,6907,6753,6918,7295,7393,6797,6413,6579,6233,6552,5914,5385,6551,6564,6726,7105,7359,6592,6131,6599,6095,6452,6227,5512,7052,7150,7245,7395,7776,7012,6781,6803,6416,7153,7034,5508,5842,4467,6030,7055,7190,6473,6438,6767,6243,6686
Texas,TX,19631,22892,21801,22929,22140,23381,22411,21962,22574,21517,20727,21095,20923,24062,22487,23867,22511,22950,23183,22796,23512,22417,21549,21383,20741,24757,23580,24883,23616,24071,24889,22874,23845,22718,21850,22072,20954,23934,23443,24210,23137,24479,24689,23057,24702,22721,22751,22528,22078,20005,14722,18869,20357,21174,21101,21776,22196,21012,21807
Utah,UT,2117,2608,2582,2535,2561,2699,2893,2540,2535,2373,2431,2328,2236,2794,2725,2741,2723,2839,3080,2671,2718,2532,2512,2605,2312,2797,2780,2812,2798,2960,3113,2716,2878,2561,2513,2626,2247,2734,2818,2705,2706,2933,3056,2726,2818,2515,2584,2537,2313,2328,1818,2170,2444,2681,2793,2609,2710,2398,2408
Vermont,VT,552,578,497,604,620,740,720,635,616,515,567,611,565,593,511,624,635,761,749,649,642,535,583,524,520,612,529,630,638,747,743,636,656,555,604,528,508,638,543,627,635,757,740,642,666,554,573,561,512,454,279,404,481,600,586,564,563,445,474
Virginia,VA,5928,7151,7147,7411,7437,7602,7644,7031,7324,7053,6911,6413,6210,7068,7274,7519,7463,7509,7697,7042,7327,7003,6922,6766,5688,6657,7310,7824,7360,7676,7738,6728,7455,6914,6787,6946,5473,6885,7449,7870,7264,7848,7745,7030,7426,6978,7378,6798,5639,5642,4170,5283,5970,6724,6352,6499,6550,6136,6097
Washington,WA,4466,5096,5228,5702,5737,5718,5660,5702,4894,4836,4607,4113,4261,5060,5070,5710,5704,5799,5732,5668,5015,4757,4703,4383,4474,5186,5077,5871,5729,5841,5603,5647,5302,4906,4819,4586,4288,5245,5404,6041,5881,5816,5626,5721,5143,4811,4813,4293,4712,3943,3257,4111,4498,5088,5132,5163,4656,4206,4293
West Virginia,WV,1346,1978,1613,1295,1550,1769,1701,1616,1790,2001,1632,1472,1412,1969,1614,1353,1575,1754,1749,1631,1855,2067,1675,1406,1279,1850,1640,1386,1598,1795,1765,1560,1895,2034,1656,1433,1194,1812,1614,1320,1514,1748,1641,1492,1722,1878,1616,1397,1224,1478,992,988,1341,1546,1417,1412,1544,1722,1370
Wisconsin,WI,4463,5414,5379,5786,5770,5969,5811,5321,5376,4997,4593,4653,4554,5518,5456,5851,5901,6008,5794,5332,5369,4961,5026,4873,4440,5598,5234,5974,6038,6297,5978,5448,5567,4993,5054,4746,4201,5492,5480,5998,5932,6403,6086,5535,5680,5013,5031,4934,4634,4459,3722,4451,5077,5635,5277,5039,4958,4352,4357
Wyoming,WY,621,691,747,834,893,983,958,880,861,758,707,618,586,694,738,817,876,966,983,875,859,756,717,653,578,698,742,813,844,968,971,878,867,702,724,662,640,701,811,855,879,1024,972,927,938,770,795,738,687,687,636,742,872,999,1007,951,936,749,736
